genID	sample
blaSHV-2a	VA1046_2020
blaSHV-27	VA1046_2020
blaSHV-110	VA1046_2020
blaNDM-7	VA1046_2020
blaACT-5	VA1184_2021
blaACT-14	VA1184_2021
blaVIM-1	VA1184_2021
blaKPC-3	VA1788_2021
blaSHV-158	VA1788_2021
blaSHV-148	VA2464_2020
blaNDM-7	VA2464_2020
blaSHV-1	VA2464_2020
blaSHV-158	VA418_2022
blaNDM-7	VA418_2022
blaACT-16	VA692_2022
blaVIM-1	VA692_2022
blaNDM-7	VA692_2022
blaACT-6	VA1101_2021
blaACT-10	VA1101_2021
blaVIM-2	VA1101_2021
blaNDM-7	VA1101_2021
blaSHV-40	VA1565_2021
blaSHV-81	VA1565_2021
blaSHV-110	VA1565_2021
blaNDM-7	VA1565_2021
blaSHV-11	VA1565_2021
blaACT-16	VA2067_2020
blaVIM-1	VA2067_2020
blaNDM-7	VA2067_2020
blaACT-7	VA2588_2020
blaACT-15	VA2588_2020
blaACT-16	VA2588_2020
blaNDM-1	VA2588_2020
blaKPC-2	VA585_2022
blaVIM-1	VA585_2022
blaSHV-190	VA585_2022
blaACT-7	VA61_2022
blaACT-15	VA61_2022
blaKPC-2	VA61_2022
blaVIM-1	VA61_2022
